ID,F1,F2,Label
321647306,0.0,0.058431078,male
381572221,0.0,0.13119745,male
139272125,0.06564538,0.25380445,male
218526813,0.2637619,0.2038796,male
195369385,0.45204037,0.47019112,female
219049295,0.036375985,0.031126061,male
257106582,0.84654987,1.0679616,female
162988060,0.15808882,0.22508863,female
90233061,0.22944611,0.94804347,female
336950490,0.00914271,0.020166317,male
347613520,0.07200196,0.1353005,male
259533576,0.20792411,0.38532615,female
307701289,0.0,0.32685927,male
404439154,0.16579452,0.7012268,male
134120927,0.07561874,0.34513572,female
222824120,0.09647229,0.14106637,female
96956807,0.12095637,0.60535604,male
278855391,0.67399913,0.685672,female
42510888,0.0,0.0970032,male
33135194,0.0,0.0,female
326509990,0.0,0.12531528,male
304796892,0.09423426,0.48497438,male
25963856,0.016091492,0.054801375,female
20999981,0.3697787,0.5584737,female
156393615,0.0,0.15344824,male
270479707,0.07838926,1.0605108,female
160659354,1.0058112,0.8355368,female
357813572,0.02612288,0.033356514,female
22177502,0.088857405,0.67829156,male
47992126,0.0,0.10121162,male
30972374,0.0,0.0738686,female
249449454,0.0,0.14652658,male
302662448,0.19113833,0.15554,male
61270735,0.0,0.16182056,female
61634536,0.1353079,0.60890716,female
382156129,0.06897737,1.1596234,male
25940641,0.13019995,0.27841827,female
241229843,0.2078128,0.22351106,male
368368493,0.062283706,0.052679062,female
93350436,0.046399556,0.15161976,male
91925221,0.111466944,0.6328186,male
22994551,0.0,0.13674387,male
70724896,0.12417779,0.5494375,male
286876100,0.112298355,0.0,female
12618492,0.047647912,0.19162245,male
322987477,0.0,0.23090553,male
135069683,0.0072180047,0.008005436,female
