File,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,TweetFreq,Label
25693282,-1.164461326,0.224190264,-0.720556004,-0.288493424,0.121817042,-1.735387818,-0.539745476,-0.145701302,-0.286333907,-0.507551654,-0.822212535,0.359879963,0.572579833,-0.261288869,0.180334898,2.2011207,0.288646171,0.655416577,0.344759895,0.205309512,1.491801388,0.172689923,-0.220017282,0.898692421,2.238647112,0,0,0.787237282,1.994379685,-0.205938845,-0.331481073,0.298354377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149628515,1.79611285,0.296985933,-0.624614972,0.227075971,-0.24397678,-1.025816851,0.394001156,-0.321432373,-0.384348588,-0.752142014,-0.943111813,-0.812871199,-0.310475239,-0.498238563,female
25821356,-0.83828753,-0.548343622,-0.485436613,-0.237978264,-0.104866086,-0.584298294,-0.227852126,-0.405935207,-0.391216662,-0.472607653,-0.632554389,-0.235681312,-0.341175323,-0.520326462,-0.236544762,0.066478097,-0.301549693,-0.746660242,-0.17878743,-0.83175326,-0.419659206,-0.721605851,-0.141075201,-1.000336867,-0.225738769,0,0,-0.988942917,-0.674057102,-0.614708024,-0.642466288,-1.223170301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.963967844,-0.562116227,-0.818390035,-0.941066949,-0.269770788,0.334094329,-0.409858331,-0.122818315,0.466788737,-0.762939144,0.623472379,0.006707031,0.690011932,-0.310475239,0.846335376,male
25897435,-0.252235423,1.121456183,1.549562254,1.698436209,1.028549554,1.430108372,2.288087568,3.10722251,-0.076568399,1.099872406,-0.348067169,1.150143963,1.288766306,-0.076262018,1.54321071,0.879675279,1.100165484,1.262084431,2.0462887,1.830041187,1.788407343,1.705768392,0.01680896,0.752613245,1.118471712,0,0,3.214683555,1.414284731,2.042291641,2.571047606,0.950436383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.200487051,0.007111481,0.513864594,2.153130162,0.624553379,3.513485425,1.438017229,4.786966664,0.663844015,1.508604195,-0.477019136,-0.943111813,-0.437150417,-0.310475239,-0.344971067,female
25940641,1.012682472,1.813517788,1.671175732,1.092254287,0.096630028,5.458921703,0.728620816,1.090409746,-0.496099416,1.693920428,2.117488737,1.150143963,1.519263102,0.552829277,1.527176876,0.473076688,1.444446404,1.545196097,0.704698681,1.173234765,1.689538691,0.044933384,-0.614727685,-0.123861811,-1.345914169,0,0,0.491207249,0.022056842,-0.001554255,-0.124157596,1.167797051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933851303,-0.399479739,1.009587247,0.922483584,0.326445323,0.237749144,0.103440436,0.910820628,1.84617568,5.673100317,0.073226622,0.685149063,0.690011932,-0.310475239,-0.184736867,female
25963856,-0.607579234,-0.781713233,-0.793524091,-0.658937932,0.222565099,-0.967994802,-0.123887676,0.537412698,-0.496099416,-0.68227166,-1.201528829,-0.625086761,-0.884489199,-0.261288869,-1.086337915,-1.509091444,-0.719605096,-0.328733498,-0.669613047,-0.140378079,-0.848090029,0.300446462,-0.851553927,0.752613245,-0.001703689,0,0,-0.574500871,-0.442019121,-0.410323435,-0.227819334,-0.788448964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179745056,-0.562116227,0.17305527,-0.448808318,-0.170401436,0.430439514,-0.717837591,-0.381228051,-0.912598206,-0.384348588,-0.201896257,0.278083844,1.817174281,-0.310475239,-0.052369485,female
26834776,-0.695089277,1.149621481,0.714483037,0.300850111,-0.3063622,0.279018848,0.562277696,1.643406794,0.50028675,1.554144423,-0.126799331,0.989800542,1.157053851,0.256786315,1.046161884,0.473076688,1.764135831,0.736305624,1.653628207,1.242372283,1.722494908,1.194742235,0.411519364,0.314375717,-0.673808929,0,0,-0.515294864,-0.790076093,0.202830334,0.083165881,-1.440530969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588793277,-0.562116227,0.606812591,0.641192937,0.227075971,0.815820253,0.103440436,-0.898047523,-0.912598206,3.212261699,1.173718136,0.549460657,-0.061429634,-0.310475239,-0.623639241,female
28176987,-1.066344005,-0.137934995,-0.347608005,-0.642099545,-0.810102484,0.470867102,-0.186266346,-0.340876731,-0.391216662,0.016608366,0.220907271,-0.109697196,0.32561898,-0.631342572,0.068098067,0.066478097,-0.104817738,-0.180436912,-0.440561093,0.65470338,-0.057140818,-0.338336234,-0.220017282,0.752613245,-0.449773849,0,0,-0.278470837,-0.209981139,-0.205938845,0.083165881,-0.571088296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038584954,-0.074206763,0.204037936,-0.167517671,-0.468509492,0.141403959,0.616739202,-0.898047523,-1.306708761,-0.762939144,-0.477019136,-0.264669781,-0.437150417,-0.310475239,1.807740575,male
28906465,0.203877529,1.869848384,0.860419211,1.109092674,1.65822491,0.950487737,-0.477366806,-0.861344541,0.395403996,1.239648411,2.275537193,1.837330049,1.889704381,2.699140755,1.479075377,0.930500103,1.370671921,1.639566652,2.275340655,1.622628633,0.865633263,0.619837809,0.727287686,-0.416020163,-0.001703689,0,0,2.385799462,0.370113815,3.064214589,-0.227819334,5.949731755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.031763207,1.714794606,1.691205894,1.801516854,1.22076949,1.393891361,2.464614762,6.595834814,2.63439679,0.372832525,1.723963894,0.549460657,0.314291149,-0.310475239,-0.567905606,female
30597694,1.733977372,-1.530105434,-1.515097395,-1.719756296,-1.590899925,-0.584298294,-1.849697548,-1.349283113,-1.597368337,-1.031711673,-0.695773771,-1.701678296,-1.617139729,-1.223428497,-1.551319074,-1.915690035,-1.457349926,-1.353328097,-1.683985989,-1.730540995,-1.474258155,-1.360388546,-1.246264331,-1.292495219,-1.345914169,0,0,-0.988942917,-1.022114074,-0.819092614,-0.642466288,-0.353727628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479002086,-1.375298667,-1.561974014,3.243131417,-0.965356251,-1.689154551,-0.923157097,1.94445957,-0.124377095,-0.762939144,-0.752142014,-0.943111813,-0.061429634,-0.310475239,-0.289237432,female
30822218,0.911913331,-0.218407275,-0.144918875,-0.136947944,-0.457484285,-0.200601786,0.063248335,-0.308347493,0.395403996,-0.227999643,0.157687889,-0.430384036,-0.160070697,-0.150272758,-0.140341763,0.066478097,-0.22777521,-0.719697227,-0.146065722,-0.140378079,-0.123053252,1.066985696,0.727287686,-0.562099339,-1.345914169,0,0,0.372795236,0.022056842,-0.001554255,-0.435142811,1.167797051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.603225361,-0.399479739,-0.570528709,-0.659776302,-0.965356251,-0.05128641,-0.204538824,0.13559142,-0.321432373,-0.384348588,3.649824044,-0.671735,-0.437150417,-0.310475239,-0.282270728,female
30972374,-1.35008869,0.6949531,0.065877821,0.166143017,0.852240455,0.087170594,-0.373402356,-0.470993683,0.447845373,0.855264397,0.031249124,0.875269528,1.041805453,0.256786315,0.805654388,2.048646229,0.313237665,1.005935782,0.639255265,1.034959729,0.173552702,0.55595954,-0.377901443,0.168296541,0.222331391,0,0,0.964855302,-0.558038111,2.042291641,-0.435142811,2.254600393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777006746,0.98293041,0.451899262,0.781838261,-0.865986899,0.141403959,0.514079449,1.427640099,-0.124377095,1.130013638,0.073226622,0.142395438,1.817174281,-0.310475239,-0.226537093,female
