ID,F1,F2,F3,Label
76225956,0.019934233,0.13492936,0.022277052,male
253297807,0.12830298,0.31505567,0.0,female
218099040,0.16074838,0.22958204,0.0051956126,male
254108070,0.08999972,0.09187471,0.0,female
340737708,0.03712512,0.037538294,0.0,female
39897844,0.054321174,0.0,0.0,male
164799361,0.0064290096,0.05866133,0.013767805,male
294823376,0.17889649,0.27960452,0.01617507,female
268557840,0.16548032,0.26160914,0.0,female
293213181,0.097708195,0.26964843,0.01699494,female
380053409,0.26671878,0.15401863,0.0,male
231497380,0.08424643,0.10092068,0.042520225,male
321447612,0.35914084,1.221909,0.0,male
123042176,0.0,0.024168724,0.0,female
355248546,1.2180272,1.1054614,0.023755541,male
62552349,0.5129942,0.76672345,0.0,male
62648441,0.21921024,0.14481105,0.012982622,female
208279736,0.0,0.23930542,0.0,female
79753992,0.21270235,0.2558968,0.014202517,female
34094724,0.037301388,0.14698541,0.0,male
30597694,0.8933864,0.9187202,0.0,female
252413333,0.104375415,0.07172024,0.051975828,female
36227219,0.04653116,0.1849341,0.012119942,female
55482997,0.07824563,0.38107,0.0,male
28176987,0.040675808,0.19860569,0.03083094,male
203656084,0.12681668,0.71499807,0.026342584,male
317569543,0.5066256,0.5120784,0.026776984,female
308817567,0.0,0.15235232,0.0,male
75281385,0.10288443,0.99234855,0.03913776,female
294864398,0.0,0.028059376,0.0,male
43019337,0.039379682,0.024439702,0.0,female
94761111,0.07303507,0.19964351,0.0,male
57552116,0.73260003,0.32842118,0.031979214,male
267932188,0.22811021,0.4268041,0.111160755,male
327994124,0.0,0.10025716,0.022906179,male
349944244,0.12036888,0.0845678,0.020086408,female
362257288,0.7272963,0.28760752,0.054479674,male
197700578,0.045146227,0.23118143,0.0110408785,male
80862068,0.0,0.08141773,0.008888477,male
246415736,0.031077253,0.17970301,0.019703887,male
240492997,0.14495507,0.32653305,0.0,male
257513036,0.106585875,0.20403826,0.12336255,female
271739194,0.016534163,0.20459676,0.02537847,male
294037425,0.009037113,0.04807333,9.3753E-4,male
275725843,0.062222917,0.118584804,0.017707784,female
57798273,0.009600562,0.05818907,0.016014146,female
189895266,0.0995073,0.35889208,0.0065403385,female
49100561,0.20138311,0.13633345,0.005075202,male
32331128,0.3682631,0.89800334,0.036374915,male
40067619,0.23452452,0.25504574,0.07519147,female
25821356,0.752394,1.4211662,0.044662144,male
233808043,0.13549504,0.25889865,0.027009925,female
183115415,2.6138675,1.35665,0.0,female
332456403,0.0,0.102096416,0.0,male
59524706,0.27961335,0.29432756,0.05415286,male
196757095,0.0,0.2821802,0.0,female
230097513,0.12519103,0.084439255,0.005161056,female
319450103,0.24772656,0.36865208,0.028765861,male
343104919,0.032136317,0.16814214,0.054403316,female
52736381,0.10083277,0.30892384,0.0136399865,male
281289188,0.0,0.10835317,0.0,male
300928318,0.3034626,0.056747995,0.0,female
68979118,0.08761465,0.18368345,0.01806261,female
51877583,0.23776452,0.24579784,0.0,female
231083817,0.23676245,0.22732449,0.043986842,female
86168724,0.27773654,0.54858834,0.013403563,male
234669118,0.15916057,0.017057046,0.02951238,male
84167314,1.9593348E-4,7.193357E-4,0.0,male
271157909,0.032149762,0.039160952,0.0,female
8465072,0.060495127,0.51016504,0.11657166,male
377660514,0.39449602,0.3167069,0.045545414,female
135782947,0.08526214,0.5748729,0.0,male
323127182,0.015713535,0.070495546,0.02275466,male
363979395,0.015425127,0.07160834,0.019565878,female
350854412,0.008745884,0.061202046,0.018287858,male
251717831,0.19686528,0.25332314,0.047819152,female
254748618,0.036141913,0.08538108,0.03158904,female
26834776,0.7289712,0.6794957,0.041181985,female
340007841,0.4763209,0.24425082,0.014060512,female
333794696,0.0,0.10685453,0.0,male
40925887,0.10744203,0.35673684,0.011205177,male
346073826,0.014239261,0.11813426,0.00976068,male
96066368,0.35394132,0.18825057,0.0,female
40604299,0.0,0.35196766,0.0,male
288715240,0.15454422,0.21121448,0.0,female
253438069,0.24605888,0.6881161,0.033326875,female
351687363,0.12254618,0.14441068,0.011981612,female
114044206,0.0045093102,0.010809038,0.0,male
363847840,0.117333665,0.10593093,0.036627457,male
42569198,0.10543331,0.52964693,0.0,male
287350897,0.043475356,0.09005732,0.015903937,female
150383104,0.021778267,0.044530027,0.0,female
344215167,0.030514153,0.061614003,0.017236805,female
234586270,0.44822744,0.58634365,0.086328834,female
241666095,0.0,0.054910127,0.00792575,male
34768779,1.2307174,1.6937088,0.018233063,female
95671622,0.0,0.119004086,0.0,male
64367166,0.0,0.11515953,0.0,male
296433109,0.0,0.4014549,0.028767247,male
353824529,0.07004105,0.32211807,0.019332288,female
20214831,0.07988809,0.6529039,0.012890828,male
264628404,0.16554824,0.46056503,0.0,male
155010707,1.4538684,1.3257501,0.016812699,male
32623333,0.25774854,0.22742777,0.022934264,female
279781693,0.42841357,0.17574397,0.036733422,female
144415967,0.44251898,0.48660916,0.036625247,female
351067358,0.56300366,0.41995788,0.03324865,female
302258234,0.12360449,0.1513671,0.026151562,female
262346368,0.059044294,0.27270257,0.036811225,male
176663017,0.57390624,0.5083236,0.022586878,female
161521811,0.063762665,0.1797972,0.0024444459,female
280777389,0.099276505,0.059944812,0.007583961,female
52975520,0.13358636,0.60704666,0.010312776,male
227108149,0.27121773,0.2850975,0.0048444388,male
160059197,0.3313852,0.76897585,0.0,male
40352693,0.71730703,0.4045607,0.04531679,male
794695,0.20400098,0.3657375,0.040437445,male
163614757,0.0,0.058307298,0.013785772,male
60252529,0.012860844,0.023033347,0.0,male
251395294,0.1625042,0.11780132,0.0,female
231970972,0.13045247,0.226487,0.038662486,female
304705046,0.43996164,0.30223468,0.02172983,female
309303548,0.031889867,0.12872356,0.01524519,female
310445971,0.12761556,0.28587535,0.013844719,male
123986340,0.10359096,0.81475824,0.0,male
30822218,0.8686992,0.7726298,0.029803107,female
100119657,0.4289565,0.37341794,0.025720075,female
253766808,0.03546652,0.0,0.0,female
125217315,0.05173078,0.19042763,0.0,female
25897435,0.2885338,0.45130658,0.022714635,female
310492568,0.026805285,0.2260747,0.0,male
24472132,0.37211582,0.13296549,0.019958368,male
320431059,0.0,0.054866005,0.0,male
392169870,0.0,0.027133813,0.0,female
81860959,0.019443357,0.11501323,0.034152094,male
279177113,0.13222422,0.15258227,0.014393308,female
41536249,0.026072543,0.20674124,0.015719783,male
169001284,0.09429603,0.12161055,0.014347982,female
198189594,1.166777,1.1289016,0.0,female
238867925,0.15111026,0.29195753,0.023138428,female
25693282,0.049142964,0.10722125,0.059223406,female
82341423,0.021131627,0.22224484,0.007789977,male
391823594,0.0,0.22618383,0.057220947,female
230580525,0.10303632,0.0309714,0.0,male
66154344,0.07918096,0.16768755,0.0,male
255799705,0.0,0.5639323,0.0,male
327078534,0.0,0.03280437,0.0,male
321647306,0.0,0.056413494,0.0,male
381572221,0.0,0.12690502,0.0,male
139272125,0.06101401,0.23875476,0.009167917,male
218526813,0.2469495,0.19444965,0.036967564,male
195369385,0.4241352,0.43872625,0.031872306,female
219049295,0.03419552,0.030034803,0.0,male
257106582,0.80089664,1.0123435,0.047409542,female
162988060,0.14766869,0.21119963,0.009396945,female
90233061,0.21521741,0.8841015,0.024916213,female
336950490,0.00914271,0.018634183,0.0,male
347613520,0.06788333,0.12706299,0.0,male
259533576,0.1966034,0.36396414,0.04699956,female
307701289,0.0,0.30554637,0.007239135,male
404439154,0.15620594,0.6541471,0.006896274,male
134120927,0.07022212,0.3235213,0.0,female
222824120,0.08983161,0.13176952,0.027525648,female
96956807,0.113116145,0.56429565,0.05748289,male
278855391,0.6320787,0.63931656,0.0093198065,female
42510888,0.0,0.091329016,0.007471977,male
33135194,0.0,0.0,0.028492859,female
326509990,0.0,0.119875014,0.0,male
304796892,0.092023194,0.46066442,0.0,male
25963856,0.014928224,0.052472036,0.0,female
20999981,0.3510905,0.5273275,0.0,female
156393615,0.0,0.14928675,0.011974781,male
270479707,0.07430298,0.9931616,0.050021563,female
160659354,0.9466098,0.78227097,0.031179428,female
357813572,0.024757035,0.030633233,0.0,female
22177502,0.0828958,0.6307008,0.0,male
47992126,0.0,0.094940245,0.011952651,male
30972374,0.0,0.06669682,0.0,female
249449454,0.0,0.13577949,0.0,male
302662448,0.18095689,0.14536516,0.017599177,male
61270735,0.0,0.14966953,0.0,female
61634536,0.12678379,0.566898,0.03762881,female
382156129,0.06402017,1.077071,0.046722233,male
25940641,0.12115194,0.25807738,0.0,female
241229843,0.19479012,0.21048233,0.0,male
368368493,0.05823444,0.049977325,0.0,female
93350436,0.044204004,0.14283682,0.0,male
91925221,0.10377649,0.59249264,0.0065268097,male
22994551,0.0,0.12349497,0.0,male
70724896,0.11749574,0.51322186,0.027597778,male
286876100,0.1064268,0.0,0.0,female
12618492,0.04382656,0.17811002,0.020840045,male
322987477,0.0,0.21559124,0.0,male
135069683,0.0072180047,0.008005436,0.0,female
