File,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,label
376466499,17,5,3,0,0,17,4,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,23,60,79,10,13,11,5,3,3,1,21,0,1,female
26834776,33,10,5,0,0,35,8,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,23,113,105,18,30,21,4,2,24,7,15,2,0,female
271157909,22,1,7,0,0,33,6,6,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,33,109,88,15,13,14,12,4,1,1,18,0,0,male
234669118,42,9,11,0,0,54,9,5,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,23,78,70,4,11,11,5,5,5,1,11,0,0,male
40352693,30,10,4,0,0,39,10,13,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,26,92,94,13,23,14,1,12,10,4,9,5,1,female
189895266,31,12,9,0,0,45,23,9,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,33,87,94,13,20,18,8,15,6,7,5,2,0,male
128091149,36,14,2,0,0,55,35,4,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,26,81,80,9,12,7,5,1,4,2,9,2,0,male
320431059,46,10,10,0,0,57,29,13,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,58,129,114,6,11,16,4,6,11,2,20,0,0,female
327078534,40,10,9,0,0,55,29,7,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,27,77,82,4,11,12,3,4,7,4,10,3,4,female
70724896,25,12,2,0,0,43,10,9,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,18,64,49,11,7,21,3,6,3,4,9,0,0,female
380479475,16,3,9,0,0,37,8,7,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,33,89,114,25,19,6,5,8,6,3,10,0,0,female
243319382,30,27,7,0,0,54,24,8,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,34,106,81,13,49,24,2,4,9,0,6,0,0,male
301117918,35,11,11,0,0,68,19,19,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,28,71,95,4,14,15,5,4,13,5,4,1,0,male
249449454,13,20,6,0,0,14,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,27,100,73,6,12,14,4,1,8,2,11,3,0,female
382156129,17,9,8,0,0,17,7,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,37,101,97,26,28,22,2,4,8,2,4,3,0,male
25963856,15,11,7,0,0,32,10,7,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,23,101,70,15,29,12,5,2,5,2,14,7,0,female
295340462,8,6,5,0,0,37,12,7,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,34,82,85,14,17,12,8,3,0,4,12,3,0,male
23553730,20,8,10,0,0,28,7,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,41,108,93,22,22,30,7,21,5,3,10,4,0,male
308817567,22,7,3,0,0,35,12,3,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,10,58,57,6,17,8,3,2,1,3,4,0,0,male
303420630,44,4,8,0,0,56,30,10,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,36,100,99,12,25,10,0,1,1,2,13,0,0,female
230097513,27,3,10,0,0,55,20,16,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,29,78,121,21,30,10,8,6,2,2,6,1,0,female
59524706,34,5,6,0,0,28,5,11,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,34,83,88,14,12,20,9,6,19,8,13,3,0,female
68979118,25,20,11,0,0,53,21,11,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,7,108,92,3,12,26,3,1,4,1,15,2,0,female
94761111,81,29,14,0,0,82,20,11,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,77,178,118,33,19,16,4,4,4,6,16,1,0,male
254108070,24,13,2,0,0,50,18,11,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,50,112,90,6,16,22,5,8,3,1,13,1,0,female
37749959,35,15,9,0,0,59,18,15,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,42,105,144,10,23,31,9,17,11,3,11,1,0,male
51877583,33,12,8,0,0,57,21,8,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,32,93,102,27,22,17,9,10,7,4,15,1,0,female
259533576,23,7,4,0,0,55,15,11,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,36,86,100,34,13,23,8,11,5,0,7,1,0,female
52736381,24,18,3,0,0,21,5,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,33,114,97,11,28,11,6,7,4,1,15,3,0,male
230580525,42,8,7,0,0,52,22,17,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,44,117,107,37,28,9,4,26,12,1,17,2,0,female
36227219,22,8,10,0,0,64,18,18,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,38,93,96,7,29,9,3,4,19,3,18,3,0,female
288715240,22,10,3,0,0,23,8,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,23,107,81,26,26,14,9,5,7,1,8,2,0,female
218526813,30,18,9,0,0,55,7,19,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,59,91,82,19,9,29,5,12,13,4,9,2,0,female
351067358,13,10,14,0,0,28,5,6,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,31,105,101,11,27,20,16,6,5,3,12,0,0,female
262912800,45,9,6,0,0,70,22,10,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,29,89,108,9,15,15,9,2,4,2,12,1,0,female
39897844,21,6,6,0,0,40,12,7,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,30,114,75,46,27,13,6,7,10,2,8,0,0,male
310445971,19,10,9,0,0,31,10,4,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,40,87,106,24,21,17,1,4,7,0,13,0,0,female
75281385,26,20,11,0,0,54,16,8,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,59,107,115,14,38,33,6,5,10,2,18,2,0,male
43019337,19,10,8,0,0,48,22,12,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,40,102,91,8,14,20,9,6,7,0,14,0,0,male
292683893,41,17,19,0,0,55,20,15,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,48,155,136,15,19,31,7,7,5,3,28,8,0,female
57552116,19,13,9,0,0,42,7,14,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,41,137,125,20,21,33,10,19,3,5,15,0,0,male
135782947,26,16,7,0,0,43,15,7,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,23,107,66,16,26,31,0,6,3,2,24,4,0,male
164799361,49,5,8,0,0,68,46,13,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,18,106,59,15,14,13,5,7,3,1,17,0,0,male
219049295,53,15,11,0,0,65,33,13,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,45,128,80,10,20,43,1,6,5,49,41,13,0,female
