File,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,Label
293213181,621,618,253,122,81,13,118,69,34,60,69,221,319,47,159,49,63,170,82,103,51,44,14,9,8,0,0,39,10,6,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,20,90,66,21,18,20,4,6,7,5,8,1,0,female
40352693,894,882,395,199,115,20,160,69,64,66,153,244,369,59,186,33,103,211,81,101,82,32,29,10,4,0,0,42,15,12,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,26,88,93,16,23,16,1,14,10,5,8,5,0,male
380479475,883,813,390,191,145,17,146,95,46,109,74,306,431,70,246,64,129,184,88,89,90,39,16,4,9,0,0,38,9,6,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,33,88,118,24,18,9,6,22,6,3,11,0,0,female
64367166,2090,256,139,81,14,3,132,73,5,2,53,30,74,14,66,2,6,22,11,27,65,47,11,10,1,0,0,26,3,6,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,41,9,22,56,25,6,12,14,0,6,3,0,male
320431059,893,902,481,241,134,30,190,112,75,71,135,276,376,106,155,47,112,249,97,107,89,42,47,11,12,0,0,75,42,13,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,67,127,116,8,12,19,4,8,13,2,14,0,0,male
101593344,1500,1012,418,166,64,37,162,162,45,84,155,281,428,86,207,33,127,270,115,124,91,80,36,20,10,0,0,59,29,6,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,30,115,100,10,33,47,6,13,13,6,11,4,0,female
81860959,1182,811,401,173,94,31,145,88,32,82,123,263,390,71,206,34,94,192,83,99,84,37,20,8,9,0,0,31,10,9,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,32,86,94,29,29,21,6,10,6,0,11,2,0,male
100119657,1216,989,387,216,175,13,132,67,52,84,113,304,458,69,237,66,129,287,108,106,97,36,18,1,7,0,0,59,27,11,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,41,106,125,42,24,21,6,16,3,4,11,2,0,female
290301230,811,795,369,203,117,15,173,97,49,51,80,281,384,62,212,51,90,201,83,115,80,42,25,16,4,0,0,42,10,11,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,24,90,93,34,13,14,1,4,2,2,18,1,0,female
377660514,1035,1127,567,275,176,21,215,137,75,112,125,408,512,100,324,47,194,239,113,98,100,73,42,10,23,0,0,78,28,13,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,34,95,134,10,22,38,6,3,13,4,33,1,0,female
