File,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,Label
57552116,1006,1262,572,264,166,32,176,111,47,136,134,382,595,129,269,68,187,293,146,139,126,52,16,13,10,0,0,40,8,12,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,41,134,122,19,22,31,9,18,3,4,16,0,0,male
57798273,1033,787,488,230,120,23,210,100,69,79,76,274,353,60,206,38,105,181,81,103,83,48,41,12,7,0,0,54,22,9,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,24,81,84,11,21,17,5,4,16,1,6,2,1,female
58374966,824,872,353,176,111,22,151,95,49,71,106,295,422,73,206,46,132,205,98,114,101,33,23,3,7,0,0,39,13,5,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,25,82,80,9,30,15,3,5,13,3,7,1,0,male
59524706,960,724,317,163,93,17,128,78,42,43,94,273,321,72,200,30,91,192,59,51,75,53,35,7,6,0,0,29,6,11,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,32,77,89,15,12,23,9,7,20,7,12,2,0,male
60252529,1450,925,544,278,142,30,213,116,33,66,108,322,460,78,259,53,123,171,83,117,87,40,15,8,12,0,0,40,11,13,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,33,85,56,9,18,15,3,2,5,0,19,7,0,male
61270735,1555,745,345,166,86,20,152,93,46,61,115,232,340,45,193,33,95,186,80,95,71,51,27,20,9,0,0,39,20,6,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,29,96,75,22,29,25,3,5,10,2,12,3,0,female
61634536,1247,740,308,136,73,16,153,76,54,72,90,226,352,79,176,48,115,194,73,64,69,43,33,9,7,0,0,33,15,6,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,25,75,65,12,17,18,2,10,5,4,12,8,0,female
62552349,1752,190,55,23,18,1,16,12,5,8,73,57,81,9,55,7,9,28,8,21,7,8,6,2,0,0,0,8,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,10,9,18,1,12,8,1,0,0,3,20,0,male
62648441,1264,841,456,229,147,22,188,118,32,65,83,275,395,82,234,34,123,190,97,110,79,39,15,6,7,0,0,57,16,19,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,21,107,91,14,19,12,6,6,4,3,9,4,0,female
64367166,2201,228,135,79,14,2,117,67,0,1,46,8,46,2,40,0,1,10,4,23,58,30,3,1,1,0,0,9,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,40,6,4,50,10,3,4,4,0,4,0,0,male
64489209,834,1013,421,232,173,19,151,112,43,79,138,313,407,79,224,42,107,266,96,121,83,44,37,2,10,0,0,71,20,15,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,40,117,98,23,25,27,16,9,6,1,6,1,1,female
65107757,1195,1160,518,259,142,31,229,124,55,82,165,358,508,72,295,52,133,307,121,136,85,46,22,5,8,0,0,52,12,8,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,35,143,161,15,37,27,11,7,3,7,7,4,0,female
66154344,1996,739,369,164,73,18,143,78,39,64,105,213,324,50,165,38,111,177,84,83,86,34,27,10,8,0,0,43,20,5,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,25,80,106,21,20,9,0,9,6,4,3,1,0,male
68979118,945,740,396,195,121,12,176,104,36,78,79,217,307,56,179,22,83,205,65,107,54,55,25,22,11,0,0,54,21,11,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,7,107,90,2,12,25,3,2,4,1,15,2,0,female
69151701,1147,973,491,225,144,21,197,123,73,122,114,304,459,78,234,64,148,233,115,116,75,75,38,24,15,0,0,56,33,11,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,31,115,113,49,24,9,5,10,6,1,13,4,0,male
69569991,1148,1004,522,282,166,24,192,111,32,66,105,327,436,87,230,54,120,247,94,96,62,52,30,3,5,0,0,43,11,11,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,37,83,112,5,12,31,11,7,10,1,13,1,0,female
70724896,908,527,260,119,73,15,104,47,35,46,96,184,247,49,131,30,58,122,46,62,40,24,25,13,2,0,0,42,9,9,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,17,60,46,10,9,23,3,6,3,4,9,0,0,male
75281385,975,1236,585,298,194,29,225,148,63,103,138,423,628,107,331,72,149,314,151,167,114,73,26,20,12,0,0,54,17,8,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,58,107,116,14,37,37,7,6,10,2,17,2,0,female
76197212,1161,868,448,240,150,17,195,109,42,64,96,271,400,81,205,58,116,241,58,99,65,45,27,18,9,0,0,54,21,10,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,25,115,71,7,9,19,6,4,13,6,12,4,0,male
76225956,2323,770,251,79,20,31,136,72,62,51,160,198,336,54,165,35,47,312,77,99,51,39,16,13,4,0,0,30,8,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,48,150,58,50,37,19,5,15,19,5,1,2,1,male
794695,1538,1039,370,174,95,21,154,108,32,71,142,242,402,68,184,39,132,351,87,116,92,67,20,20,11,0,0,21,4,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,41,158,107,26,41,37,9,10,6,0,17,6,0,male
79753992,1514,897,397,170,90,24,177,109,34,72,138,295,391,69,241,44,102,237,89,85,74,46,17,9,7,0,0,55,10,5,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,32,109,93,20,31,21,7,8,8,2,7,1,0,female
80862068,1362,845,364,165,79,26,151,105,40,56,123,243,359,70,168,42,109,243,79,93,81,47,20,9,7,0,0,33,6,6,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,32,96,103,17,27,20,7,6,18,0,15,2,0,male
81647059,1378,916,505,236,105,17,246,121,77,95,100,294,436,66,217,57,160,232,88,98,92,39,33,11,7,0,0,50,23,10,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,31,76,108,22,27,10,0,4,5,3,6,1,0,female
81860959,1183,804,397,171,95,29,147,91,31,82,123,259,386,69,206,34,93,191,83,100,79,37,19,8,9,0,0,28,9,7,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,30,85,90,26,28,22,2,10,5,0,16,3,0,male
82341423,1075,748,393,191,93,19,158,98,60,68,123,253,380,62,176,60,76,161,56,94,71,31,47,6,6,0,0,53,27,4,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,24,78,74,18,21,10,2,7,10,3,3,0,0,male
84167314,1879,523,283,153,98,29,111,67,8,30,77,162,174,36,133,13,62,137,26,19,25,37,16,15,2,0,0,17,3,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,22,71,79,7,4,42,0,7,8,0,6,0,0,male
8465072,1576,1013,422,171,69,38,179,94,43,103,148,307,469,86,240,61,104,293,103,116,96,57,17,13,12,0,0,42,7,16,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,41,103,82,49,60,28,6,10,18,4,3,3,0,male
86168724,758,534,216,103,62,13,107,56,36,46,96,182,233,39,128,45,79,118,48,47,44,27,22,12,1,0,0,35,13,4,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,18,63,62,7,17,16,3,0,5,1,9,0,0,male
