UID,nameFeature,bioFeatures,label
52975520,7.7162,2.3207994,male
25821356,1.8720005,1.2479999,male
245264669,9.5112,0.08999872,male
230580525,0.0,0.0,male
33925367,-4.4352,0.0,female
197700578,6.9096003,0.0,male
382947784,-3.1380005,0.0,female
288715240,-2.2368,0.0,female
234866000,-4.8708,0.0,female
49100561,7.5408,0.0,male
57798273,-10.601999,2.4335995,female
270906614,7.7284,2.9784,male
293213181,0.0,0.0,female
222824120,0.0,0.0,female
251799369,-1.4064,0.0,female
135069683,-1.6344004,-0.36319995,female
362257288,12.839599,0.0,male
290601341,-10.336,0.0,female
393642659,-7.8,0.0,female
294037425,4.5168,2.0701995,male
106615519,1.2600002,0.0,male
277030441,-4.5432005,0.0,female
206912999,4.5744004,0.0,male
25693282,0.0,0.0,female
355248546,4.344,0.0,male
302662448,0.0,0.99840003,male
33135194,-7.7162,0.0,female
150383104,-8.0442,0.0,female
41536249,4.6656003,0.0,male
310492568,1.5509999,1.2407999,male
241229843,4.5744004,0.0,male
343104919,-4.2384005,0.0,female
794695,4.1520004,4.1520004,male
285607620,-4.4064,0.0,female
268366947,0.0,-0.40199998,female
162988060,0.0,0.0,female
300104381,-4.5024004,0.0,female
40604299,4.7136,0.0,male
347096222,-7.16,0.0,female
301117918,-4.4112005,0.0,female
134954386,-2.2632,0.0,female
238867925,-4.6896,0.0,female
349944244,-4.3776,0.0,female
129371328,-7.664,0.0,female
247085273,0.24000001,0.0,male
342299212,-1.0044003,0.0,female
279781693,-4.3872,0.0,female
96956807,7.4538,-1.6884,male
320918254,-2.2416,0.0,female
95656300,6.4890003,0.0,male
290268568,4.6704,0.0,male
52736381,3.2592003,0.0,male
277769310,-5.4648,3.1246,female
37749959,4.7232003,0.0,male
58374966,4.4976,0.0,male
264628404,0.0,5.753599,male
275725843,-7.5552006,0.0,female
234669118,3.5028,0.19459939,male
93350436,1.9559999,4.7520003,male
283252009,0.0,0.0,female
279177113,-4.7712,0.0,female
198189594,0.0,0.0,female
326509990,7.8719997,0.0,male
76197212,0.0,0.0,male
243319382,-7.816,0.023999996,female
322956056,-4.2624,0.0,female
57552116,7.6019998,-2.8079998,male
227108149,0.0,0.0,male
90233061,0.0,0.0,female
254108070,-4.0128,0.0,female
321647306,3.6799998,0.0,male
304705046,-7.9622,0.0,female
65107757,0.0,0.0,female
55482997,7.8146,0.0,male
61634536,-7.3164005,-0.13559991,female
164799361,4.3584003,0.0,male
304796892,4.2432003,0.0,male
84167314,7.4209995,3.0769997,male
163614757,5.841,2.1657996,male
196757095,-4.2336,0.0,female
259533576,0.0,0.0,female
96423170,1.9103999,0.0,female
62648441,-4.7328,0.0,female
270479707,-1.0367997,0.0,female
380618924,4.5744004,0.0,male
333194654,-4.5552,0.0,female
380053409,0.72,0.0,male
231970972,-4.4880004,0.0,female
60252529,0.0,0.0,male
23553730,-6.5130005,0.0,female
363847840,0.0,0.0,male
218099040,-0.45439997,-4.0398006,male
45278016,4.3056,0.0,male
262346368,1.8999995,0.0,male
257106582,-4.1856003,0.0,female
347613520,0.0,0.0,male
380479475,-4.5984,0.0,female
262912800,-4.3584003,0.0,female
